,ARN,tr_sink_node,m_network,MID,MID_name,TID,tr_amout,pos_entry_mode,country,Typ_karty,czy_SCA,podział NBP,trx_date,posted_date,quarter,FT,FT description
0,05185243116031067521250,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073007,30.0,CTLS,GB,Debit,non_SCA,G1,2023-04-26,2023-12-20,4,0,Zgubienie lub kradzież karty
1,05185243343035190249213,SN-MasterC,Niezrzeszeni,Z0020,Zbigniew Kowalski,02585107,45.0,CHIP,GB,Credit,non_SCA,G1,2023-12-09,2023-12-10,4,3,Pozostałe
2,05185243346035234986173,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,210.0,CTLS,PL,Credit,non_SCA,PL,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty
3,05185243346035235005213,SN-MasterC,Niezrzeszeni,B5182,BLAUMED SPÓŁKA Z OGRANICZONĄ O,18977307,90.0,CTLS,PL,Credit,non_SCA,PL,2023-12-12,2023-12-14,4,1,Zgubienie lub kradzież karty
4,05185243222033115708526,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,200.0,CTLS,US,Debit,SCA,G1,2023-08-10,2023-11-14,4,4,Karta sfałszowana
5,05185243285034281917150,SN-MasterC,Wiele Rachunków,N0788,N&N NA JUNHYOUNG SP.K.,06584307,80.0,CTLS,PL,Debit,non_SCA,PL,2023-10-12,2023-10-12,4,5,Pozostałe
6,05185243179032271708083,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073307,30.0,CTLS,GB,Debit,non_SCA,G1,2023-06-28,2023-12-20,4,0,Zgubienie lub kradzież karty
7,05185243222033115826831,SN-MasterC,BANK MILLENNIUM,C4725,CAR SHER SP. Z O.O.,20727407,17998.26,CTLS,US,Debit,non_SCA,G1,2023-08-10,2023-11-14,4,4,Karta sfałszowana
8,05185243172032128737431,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09073407,30.0,CTLS,GB,Debit,non_SCA,G1,2023-06-21,2023-12-20,4,0,Zgubienie lub kradzież karty
9,05185243306034628138028,SN-MasterC,Niezrzeszeni,M5519,MAZO  SP z o o,21053807,60.0,CTLS,US,Credit,non_SCA,G1,2023-11-02,2023-11-10,4,0,Zgubienie lub kradzież karty
10,05185243171032120114341,SN-MasterC,Niezrzeszeni,M4998,MAXBUS Transport Osobowy Jacek,09072907,30.0,CTLS,GB,Debit,non_SCA,G1,2023-06-20,2023-12-20,4,0,Zgubienie lub kradzież karty
11,05185243338035104648002,SN-MasterC,HVT_5K_VERIFIED,F4963,FARIRAM INVEST SPÓŁKA Z OGRANI,18787307,120.0,011,UA,Debit,non_SCA,G1,2023-12-04,2023-12-14,4,6,Pozostałe
